manhwa,score,ranked,popularity_rank,members,favorites
1,8.68,56,7,432195,40055
2,8.67,58,187,76113,4056
3,8.58,92,365,42621,2697
4,8.5,139,84,126296,6461
5,8.44,173,347,44588,2658
6,8.42,183,547,29616,1226
7,8.4,201,77,138625,6193
8,8.4,204,151,87466,4275
9,8.39,210,42,176104,12007
10,8.39,211,647,25850,830
11,8.39,214,1093,15799,772
12,8.37,232,144,90663,4292
13,8.34,261,3006,6245,356
14,8.3,300,6967,2479,209
15,8.28,326,220,66004,2788
16,8.26,339,208,69578,2552
17,8.24,362,709,23603,846
18,8.23,385,4741,3874,115
19,8.22,387,2895,6460,310
20,8.2,411,2039,8987,281
21,8.19,421,848,19929,736
22,8.18,439,1611,11400,369
23,8.15,477,2294,8103,224
24,8.14,499,1718,10640,272
25,8.14,503,612,27039,731
26,8.13,511,895,18927,364
27,8.13,517,593,27786,800
28,8.12,522,2317,8024,164
29,8.12,527,2993,6262,183
30,8.12,540,2068,8900,94
31,8.11,547,120,104467,4931
32,8.1,566,2834,6595,294
33,8.08,593,1133,15361,500
34,8.08,600,1630,11277,328
35,8.07,616,1716,10653,251
36,8.07,617,1900,9531,66
37,8.06,621,1991,9156,387
38,8.06,630,892,18957,600
39,8.06,633,4384,4201,164
40,8.05,646,2187,8464,226
41,8.05,648,3592,5240,162
42,8.04,672,1382,13154,426
43,8.02,698,1171,14959,488
44,8.0,725,4528,4060,141
45,7.98,766,3861,4857,99
46,7.98,773,1344,13431,473
47,7.97,799,310,48913,2262
48,7.97,801,816,20645,558
49,7.96,802,1424,12843,323
50,7.96,811,668,24970,738
51,7.96,814,819,20574,543
52,7.96,816,1316,13706,345
53,7.96,817,3798,4935,119
54,7.95,818,932,18253,457
55,7.95,824,4221,4371,168
56,7.95,825,3522,5343,108
57,7.95,841,1838,9859,297
58,7.94,848,6095,2899,147
59,7.93,872,2280,8139,178
60,7.93,873,2700,6964,284
61,7.93,884,1555,11850,251
62,7.93,893,1586,11632,235
63,7.92,903,2759,6808,154
64,7.92,920,983,17290,468
65,7.91,923,4783,3839,54
66,7.9,948,825,20450,463
67,7.9,955,3761,4986,176
68,7.89,985,2560,7319,157
69,7.89,986,2695,6971,179
70,7.89,987,6457,2717,110
71,7.88,1008,3395,5557,139
72,7.87,1038,1777,10253,173
73,7.86,1048,4448,4132,124
74,7.86,1067,3533,5329,105
75,7.85,1095,10021,1574,75
76,7.85,1100,4746,3864,65
77,7.85,1105,1641,11193,157
78,7.85,1111,4166,4431,67
79,7.84,1112,2272,8169,184
80,7.84,1114,1517,12168,243
81,7.84,1116,4511,4067,90
82,7.84,1119,389,40868,871
83,7.84,1122,1873,9689,186
84,7.84,1124,3680,5122,83
85,7.83,1157,3834,4886,178
86,7.83,1163,2330,7971,239
87,7.82,1205,6578,2649,50
88,7.8100000000000005,1212,5123,3541,60
89,7.79,1279,3682,5121,113
90,7.79,1280,5214,3473,61
91,7.79,1281,2614,7186,114
92,7.78,1339,1681,10889,268
93,7.77,1350,542,29896,690
94,7.77,1354,3707,5075,76
95,7.77,1359,1813,9987,308
96,7.77,1360,5012,3621,52
97,7.76,1391,5915,3000,33
98,7.76,1397,9166,1762,43
99,7.76,1419,2043,8984,160
100,7.76,1420,1423,12850,165
101,7.75,1424,9777,1626,33
102,7.75,1425,1636,11233,256
103,7.75,1426,1613,11375,207
104,7.75,1427,6272,2817,18
105,7.75,1428,9528,1682,15
106,7.75,1434,3435,5482,108
107,7.75,1437,748,22223,333
108,7.75,1459,3314,5705,97
109,7.74,1486,4331,4253,62
110,7.74,1503,1798,10085,268
111,7.74,1507,8259,2015,56
112,7.73,1510,5016,3618,46
113,7.73,1524,6196,2853,73
114,7.73,1525,5422,3319,41
115,7.73,1557,3850,4866,52
116,7.72,1568,2095,8803,230
117,7.72,1581,2585,7273,167
118,7.72,1588,12845,1108,25
119,7.72,1589,6530,2682,33
120,7.71,1630,2712,6929,105
121,7.7,1641,557,29247,805
122,7.7,1655,2557,7338,98
123,7.69,1686,5457,3292,32
124,7.69,1687,8480,1945,36
125,7.69,1705,5182,3498,42
126,7.68,1724,205,69604,2106
127,7.68,1729,8231,2023,76
128,7.68,1737,2752,6830,138
129,7.68,1738,6890,2516,23
130,7.68,1739,6624,2630,59
131,7.68,1750,7578,2251,32
132,7.68,1765,3583,5257,63
133,7.68,1766,2691,6980,139
134,7.68,1778,2613,7187,144
135,7.67,1784,2627,7156,234
136,7.67,1791,857,19751,466
137,7.67,1811,1450,12650,205
138,7.67,1815,6352,2773,47
139,7.67,1816,10855,1404,115
140,7.66,1862,1885,9613,150
141,7.65,1903,1308,13760,275
142,7.65,1928,6705,2598,25
143,7.65,1934,4260,4329,41
144,7.65,1942,3479,5415,71
145,7.65,1944,7319,2345,25
146,7.63,1946,4693,3904,52
147,7.64,1947,4758,3857,47
148,7.64,1949,13151,1071,14
149,7.64,1989,3931,4769,50
150,7.63,2004,5935,2985,59
151,7.63,2010,1686,10849,122
152,7.63,2035,8115,2057,38
153,7.62,2053,9277,1736,19
154,7.62,2055,5468,3283,48
155,7.62,2057,2963,6319,99
156,7.62,2087,4191,4399,74
157,7.61,2095,2473,7587,121
158,7.61,2112,1938,9362,188
159,7.61,2141,2134,8665,108
160,7.61,2143,5382,3350,50
161,7.61,2144,5553,3224,38
162,7.61,2159,5083,3576,61
163,7.6,2190,3943,4747,59
164,7.6,2210,7404,2318,20
165,7.59,2211,5168,3512,41
166,7.59,2212,6188,2857,54
167,7.59,2214,6933,2494,35
168,7.59,2236,3539,5320,89
169,7.58,2281,2112,8751,78
170,7.58,2282,20956,494,7
171,7.58,2283,16391,760,25
172,7.58,2309,8899,1826,25
173,7.58,2323,3083,6105,59
174,7.58,2324,1754,10414,139
175,7.57,2335,2032,9001,191
176,7.57,2336,5496,3261,20
177,7.57,2337,797,21055,243
178,7.57,2339,4717,3890,54
179,7.57,2351,2299,8084,119
180,7.57,2352,2985,6271,76
181,7.57,2377,4902,3729,34
182,7.5600000000000005,2402,5633,3169,31
183,7.5600000000000005,2406,206,69604,2146
184,7.5600000000000005,2414,3397,5549,89
185,7.5600000000000005,2416,3285,5741,106
186,7.5600000000000005,2430,5118,3546,38
187,7.5600000000000005,2445,1874,9686,92
188,7.5600000000000005,2446,1334,13544,200
189,7.5600000000000005,2447,1222,14523,179
190,7.5600000000000005,2448,11971,1232,16
191,7.55,2458,4763,3855,38
192,7.55,2502,3691,5103,64
193,7.54,2507,3205,5913,62
194,7.54,2508,4427,4157,36
195,7.54,2529,3641,5181,97
196,7.54,2545,7549,2261,38
197,7.54,2553,889,18987,387
198,7.54,2554,1414,12919,211
199,7.54,2571,10200,1534,17
200,7.53,2582,11763,1258,28
201,7.53,2586,7261,2372,25
202,7.53,2597,4194,4399,37
203,7.53,2598,5625,3178,28
204,7.53,2599,8696,1884,23
205,7.53,2600,3370,5610,54
206,7.52,2657,4629,3963,55
207,7.52,2663,7165,2403,16
208,7.52,2668,3475,5418,51
209,7.52,2670,2248,8257,68
210,7.52,2672,6239,2832,36
211,7.52,2673,5137,3534,47
212,7.52,2687,19142,584,12
213,7.52,2690,511,31787,393
214,7.52,2692,12551,1148,15
215,7.51,2733,6278,2815,48
216,7.51,2736,1773,10292,168
217,7.51,2743,9572,1672,48
218,7.51,2746,5552,3226,50
219,7.51,2757,4945,3691,37
220,7.51,2781,2158,8541,133
221,7.51,2782,4177,4417,71
222,7.51,2783,4073,4552,33
223,7.51,2785,4489,4091,35
224,7.5,2836,4286,4303,57
225,7.5,2839,3655,5169,135
226,7.5,2858,2786,6721,88
227,7.5,2859,11319,1328,14
228,7.5,2860,5509,3252,14
229,7.49,2866,15205,862,18
230,7.49,2868,3039,6204,84
231,7.49,2869,1575,11682,87
232,7.49,2870,16069,788,18
233,7.49,2933,6248,2828,36
234,7.49,2946,18446,625,18
235,7.48,2951,6428,2731,105
236,7.48,2965,4170,4431,86
237,7.48,2966,19454,566,12
238,7.48,2967,7134,2415,45
239,7.48,2968,7216,2383,33
240,7.48,2970,8120,2055,15
241,7.48,2972,3390,5565,45
242,7.48,2987,4507,4068,99
243,7.47,3035,9386,1714,20
244,7.47,3047,2890,6468,98
245,7.47,3048,1845,9811,104
246,7.47,3049,10965,1387,9
247,7.47,3059,4845,3782,46
248,7.47,3074,6621,2630,30
249,7.46,3147,7502,2282,39
250,7.46,3149,2877,6520,44
251,7.45,3191,2388,7849,112
252,7.45,3199,4881,3748,47
253,7.45,3207,4279,4309,26
254,7.45,3224,5285,3420,25
255,7.45,3248,7814,2170,31
256,7.45,3250,10783,1416,14
257,7.45,3251,1393,13051,101
258,7.45,3252,10301,1513,35
259,7.45,3253,6706,2597,31
260,7.45,3254,10741,1426,11
261,7.45,3255,18559,617,4
262,7.44,3259,6916,2499,13
263,7.44,3260,7725,2200,18
264,7.44,3264,18354,630,8
265,7.43,3350,5899,3010,42
266,7.43,3359,18674,611,12
267,7.43,3361,8459,1958,15
268,7.43,3362,10505,1469,12
269,7.43,3395,2466,7609,70
270,7.42,3410,2520,7447,221
271,7.42,3436,3888,4827,46
272,7.42,3444,4330,4254,22
273,7.42,3445,3277,5763,57
274,7.42,3469,5759,3097,39
275,7.41,3532,12710,1127,13
276,7.41,3569,4808,3817,43
277,7.41,3570,12200,1198,8
278,7.41,3571,3669,5134,28
279,7.4,3593,15808,808,12
280,7.4,3646,9170,1761,23
281,7.4,3653,15837,805,12
282,7.4,3665,14041,975,8
283,7.4,3666,13932,989,6
284,7.39,3668,3126,6048,47
285,7.39,3669,7733,2196,15
286,7.39,3672,12112,1210,11
287,7.39,3673,6595,2643,17
288,7.39,3674,9129,1769,7
289,7.39,3675,15264,856,9
290,7.39,3690,5438,3305,39
291,7.39,3705,3026,6224,126
292,7.39,3713,6006,2944,30
293,7.38,3786,6748,2580,42
294,7.38,3787,10795,1414,17
295,7.38,3788,24555,360,6
296,7.38,3788,11546,1291,22
297,7.38,3790,12384,1170,16
298,7.38,3791,22725,421,6
299,7.38,3824,4545,4043,52
300,7.38,3835,10006,1577,15
301,7.37,3859,6591,2645,38
302,7.37,3870,2977,6281,53
303,7.37,3876,4671,3921,13
304,7.37,3890,19670,555,11
305,7.37,3891,7851,2154,36
306,7.37,3892,6124,2885,17
307,7.37,3893,6401,2746,25
308,7.37,3901,26506,303,5
309,7.37,3912,17423,687,14
310,7.36,3958,6542,2674,10
311,7.36,3967,5646,3163,39
312,7.36,3981,16093,786,16
313,7.36,3984,700,23921,409
314,7.36,4003,7347,2333,11
315,7.36,4026,2670,7049,59
316,7.36,4035,6665,2616,10
317,7.36,4037,13229,1063,6
318,7.35,4070,6656,2619,84
319,7.35,4073,11070,1369,7
320,7.35,4128,15461,839,14
321,7.35,4134,10844,1406,31
322,7.35,4151,12509,1153,12
323,7.35,4157,2208,8387,40
324,7.35,4158,1760,10383,57
325,7.35,4159,13153,1071,10
326,7.34,4162,4766,3853,26
327,7.34,4163,20055,536,12
328,7.34,4164,6720,2592,27
329,7.34,4165,9147,1765,9
330,7.34,4166,7484,2290,9
331,7.34,4167,7687,2212,11
332,7.34,4168,14013,980,21
333,7.34,4171,4506,4074,26
334,7.34,4214,3509,5365,36
335,7.34,4225,8144,2046,29
336,7.33,4287,8878,1833,32
337,7.33,4288,16410,759,6
338,7.33,4289,4408,4178,27
339,7.33,4290,2932,6373,46
340,7.33,4291,5432,3312,20
341,7.33,4292,15608,824,8
342,7.33,4351,8137,2049,14
343,7.33,4352,3371,5606,57
344,7.32,4376,3052,6178,150
345,7.32,4388,5402,3331,23
346,7.32,4395,9510,1685,11
347,7.32,4431,6659,2619,22
348,7.32,4432,7841,2158,23
349,7.32,4433,5135,3533,13
350,7.32,4434,21493,470,8
351,7.32,4435,4242,4346,14
352,7.32,4445,13919,991,6
353,7.32,4463,5389,3344,27
354,7.32,4485,12773,1117,5
355,7.32,4486,2973,6292,74
356,7.32,4493,3343,5652,32
357,7.32,4496,3768,4978,55
358,7.31,4509,5011,3622,25
359,7.31,4530,14853,893,22
360,7.31,4546,15456,839,3
361,7.31,4565,4366,4225,37
362,7.31,4566,5125,3540,122
363,7.31,4567,8394,1976,18
364,7.31,4568,14804,898,6
365,7.3,4621,10791,1414,20
366,7.3,4634,7270,2367,20
367,7.3,4669,8483,1945,33
368,7.3,4670,12519,1151,21
369,7.3,4695,10133,1547,19
370,7.3,4698,9549,1677,24
371,7.3,4699,8347,1991,2
372,7.3,4701,16266,772,6
373,7.29,4708,17474,683,2
374,7.3,4703,5741,3107,24
375,7.29,4705,4332,4252,28
376,7.29,4708,12340,1176,15
377,7.29,4707,13927,990,18
378,7.29,4709,4966,3667,12
379,7.29,4710,24691,356,4
380,7.29,4714,11146,1355,8
381,7.29,4757,8306,2002,32
382,7.29,4762,3740,5022,36
383,7.29,4769,1677,10912,84
384,7.29,4777,10835,1408,3
385,7.29,4785,10554,1459,12
386,7.29,4787,9199,1754,10
387,7.29,4807,1538,12007,585
388,7.29,4813,13522,1033,16
389,7.28,4855,8205,2032,33
390,7.28,4856,8352,1989,6
391,7.28,4857,11310,1330,5
392,7.28,4859,16588,745,4
393,7.28,4878,8425,1965,21
394,7.28,4893,12287,1184,10
395,7.28,4915,6256,2825,13
396,7.27,4950,5543,3233,49
397,7.27,4957,9249,1743,7
398,7.27,4977,16487,753,14
399,7.27,4978,2304,8071,105
400,7.27,4979,19212,580,7
401,7.27,4980,21189,483,3
402,7.27,4982,17196,702,8
403,7.27,4992,18305,632,12
404,7.27,5003,9518,1683,24
405,7.27,5020,8274,2011,29
406,7.27,5033,8079,2069,14
407,7.26,5122,11431,1309,5
408,7.26,5123,6961,2482,8
409,7.26,5125,7453,2300,6
410,7.26,5126,5781,3082,9
411,7.26,5140,10705,1430,41
412,7.25,5158,6958,2482,42
413,7.25,5173,12695,1129,11
414,7.25,5176,17555,678,8
415,7.25,5204,11907,1239,7
416,7.25,5231,26026,317,2
417,7.25,5233,18894,599,26
418,7.25,5256,9176,1760,13
419,7.25,5257,7789,2179,7
420,7.25,5258,4159,4437,36
421,7.25,5259,12072,1216,4
422,7.25,5260,18896,599,4
423,7.24,5268,7594,2246,22
424,7.24,5269,5561,3218,22
425,7.24,5270,25261,339,5
426,7.24,5274,13967,984,11
427,7.24,5330,9162,1762,23
428,7.24,5388,15543,830,7
429,7.23,5397,11749,1261,19
430,7.23,5408,15155,866,15
431,7.23,5416,7057,2447,18
432,7.23,5433,11458,1305,22
433,7.23,5434,3319,5694,40
434,7.23,5435,2596,7245,21
435,7.23,5436,4647,3947,8
436,7.23,5437,13749,1009,5
437,7.23,5445,7915,2128,7
438,7.23,5458,5308,3403,22
439,7.23,5488,7886,2139,2
440,7.23,5492,8297,2004,13
441,7.22,5515,8090,2066,38
442,7.22,5555,10393,1495,12
443,7.22,5567,2938,6365,72
444,7.22,5569,5573,3210,20
445,7.22,5570,6019,2934,11
446,7.22,5571,12163,1203,9
447,7.22,5572,6589,2646,10
448,7.22,5584,7468,2296,16
449,7.22,5594,16499,752,7
450,7.22,5603,12243,1191,23
451,7.22,5622,20758,502,4
452,7.22,5630,11208,1345,20
453,7.21,5635,7732,2197,9
454,7.21,5649,14348,942,13
455,7.21,5673,12797,1114,6
456,7.21,5677,9761,1629,8
457,7.21,5687,17554,678,5
458,7.21,5698,13096,1078,6
459,7.21,5705,10850,1405,8
460,7.21,5710,11397,1315,7
461,7.21,5711,2887,6473,63
462,7.21,5712,24325,368,3
463,7.21,5713,14699,907,12
464,7.21,5714,10656,1441,4
465,7.2,5766,8503,1940,20
466,7.2,5767,8271,2012,31
467,7.2,5832,5548,3230,34
468,7.2,5839,7551,2260,8
469,7.2,5863,8555,1925,10
470,7.2,5864,14387,938,2
471,7.2,5865,1679,10903,53
472,7.2,5866,6110,2890,21
473,7.2,5868,20598,510,7
474,7.2,5869,11763,1259,6
475,7.2,5871,15247,858,7
476,7.2,5873,11892,1241,7
477,7.2,5874,20965,493,0
478,7.19,5878,19292,576,6
479,7.19,5879,8696,1884,5
480,7.19,5881,20987,492,4
481,7.19,5884,13308,1054,8
482,7.19,5885,12616,1139,5
483,7.19,5929,7401,2319,7
484,7.19,5958,19024,591,11
485,7.19,5963,19840,546,3
486,7.19,5977,3186,5938,86
487,7.19,5988,19334,573,18
488,7.19,5989,5557,3221,30
489,7.19,5994,26222,311,3
490,7.19,5997,22849,417,3
491,7.18,6014,8348,1990,39
492,7.18,6031,11429,1309,20
493,7.18,6037,4106,4507,45
494,7.18,6038,2708,6941,34
495,7.18,6039,6968,2478,20
